,VillaName,Address,Bedrooms,Bathrooms,GuestNo,PropertyType,URL,Area,Currency,PriceValue,Unit,Features
0,Uluwatu Modern Boho Villa Near Nyang Nyang Beach,"Jl. Batu Nunggul No.1, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",2,2.0,4.0,['Villa'],https://www.bukitvista.com/property/uluwatu-modern-boho-villa-near-nyang-nyang-beach-2,Uluwatu,USD,129.0,night,"['Amazing pool', 'Island life', 'Pool view', 'Surfing', 'Tropical']"
1,Bingin Beach Hideaway: Group Villa with Pool & BBQ,"Jl. Pantai Cemongkak Gg. Samuh Sari No.2, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",3,3.0,6.0,['Villa'],https://www.bukitvista.com/property/bingin-beach-hideaway-group-villa-with-pool-amp-bbq,Pecatu,USD,161.0,night,"['Amazing pool', 'Island life', 'Pool view', 'Surfing', 'Tropical']"
2,4-Bedroom Mediterranean Luxury Villa with Ubud Rooftop View,"Jl. Suweta, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571",4,4.0,8.0,['Villa'],https://www.bukitvista.com/property/mediterranean-luxury-villa-ubud-rooftop,Ubud,USD,202.0,night,"['Amazing pool', 'Amazing View', 'Jungle View', 'Pool view', 'Tropical']"
3,Luxurious 3-Bedroom Nusa Dua Seafront Villa w/ Private Beach,,3,4.0,6.0,['Villa'],https://www.bukitvista.com/property/nusa-dua-seafront-villa,Nusa Dua,USD,357.5,night,['Beachfront']
4,Grand Villa Retreat w/ Pool & Garden in Ungasan,"Jl. Pantai Balangan I No.9x, Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",2,2.0,4.0,['Villa'],https://www.bukitvista.com/property/grand-villa-retreat-w-pool-amp-garden-in-ungasan,Ungasan,USD,84.0,night,"['Amazing pool', 'Golfing', 'Pool view']"
5,Surfer’s Villa 4 Mins to Bingin & Dreamland Beach by Bukit Vista,"Pecatu, Kuta Selatan, Badung, Bali, Nusa Tenggara, Indonesia",2,2.5,4.0,['Villa'],https://www.bukitvista.com/property/surfers-villa-4-mins-to-bingin-dreamland-beach-by-bukit-vista,Pecatu,USD,118.0,night,['Pool view']
6,Private Pool Villa Minutes from Bingin Surf Haven by Bukit Vista,"Pecatu, Kuta Selatan, Badung, Bali, Nusa Tenggara, Indonesia",2,2.0,4.0,['Villa'],https://www.bukitvista.com/property/private-pool-villa-minutes-from-bingin-surf-haven-by-bukit-vista,Pecatu,USD,165.0,night,['Pool view']
7,Ungasan Exquisite Villa w/ Rooftop & Private Pool by Bukit Vista,"Ungasan, Kuta Selatan, Badung, Bali, Nusa Tenggara, Indonesia",3,3.5,6.0,['Villa'],https://www.bukitvista.com/property/ungasan-exquisite-villa-w-rooftop-amp-private-pool-by-bukit-vista,Ungasan,USD,167.0,night,"['Amazing pool', 'Golfing', 'Surfing', 'Tropical']"
8,Sun-Soaked Canggu Villa Perfect for Families,"Tibubeneng, Kuta Utara, Badung, Bali, Nusa Tenggara, Indonesia",2,2.0,4.0,['Villa'],https://www.bukitvista.com/property/sun-soaked-canggu-villa-perfect-for-families,Canggu,USD,100.0,night,[]
9,Sunny Exquisite Umalas Villa: 20 Minutes to Canggu,,2,2.0,4.0,"['Guest House', 'Villa']",https://www.bukitvista.com/property/sunny-exquisite-umalas-villa-20-minutes-to-canggu,Canggu,USD,108.0,night,[]
10,Ubud’s Verdant Hideaway w/ Pool & Garden Views,,1,1.0,2.0,['Guest House'],https://www.bukitvista.com/property/ubuds-verdant-hideaway-w-pool-garden-views,Ubud,USD,34.0,night,[]
11,Dazzling Villa with Pool and Rooftop in Bingin,,2,2.0,4.0,['Villa'],https://www.bukitvista.com/property/dazzling-villa-with-pool-and-rooftop-in-bingin,Others,USD,202.0,night,[]
