,DataSource,VillaName,URL,Area,Currency,PriceValue,Features
0,BukitVista,Uluwatu Modern Boho Villa Near Nyang Nyang Beach,https://www.bukitvista.com/property/uluwatu-modern-boho-villa-near-nyang-nyang-beach-2,Uluwatu,USD,129.0,"['Amazing pool', 'Island life', 'Pool view', 'Surfing', 'Tropical']"
1,BukitVista,Bingin Beach Hideaway: Group Villa with Pool & BBQ,https://www.bukitvista.com/property/bingin-beach-hideaway-group-villa-with-pool-amp-bbq,Pecatu,USD,161.0,"['Amazing pool', 'Island life', 'Pool view', 'Surfing', 'Tropical']"
2,BukitVista,4-Bedroom Mediterranean Luxury Villa with Ubud Rooftop View,https://www.bukitvista.com/property/mediterranean-luxury-villa-ubud-rooftop,Ubud,USD,202.0,"['Amazing pool', 'Amazing View', 'Jungle View', 'Pool view', 'Tropical']"
3,BukitVista,Luxurious 3-Bedroom Nusa Dua Seafront Villa w/ Private Beach,https://www.bukitvista.com/property/nusa-dua-seafront-villa,Nusa Dua,USD,357.5,['Beachfront']
4,BukitVista,Grand Villa Retreat w/ Pool & Garden in Ungasan,https://www.bukitvista.com/property/grand-villa-retreat-w-pool-amp-garden-in-ungasan,Ungasan,USD,84.0,"['Amazing pool', 'Golfing', 'Pool view']"
5,BukitVista,Surfer’s Villa 4 Mins to Bingin & Dreamland Beach by Bukit Vista,https://www.bukitvista.com/property/surfers-villa-4-mins-to-bingin-dreamland-beach-by-bukit-vista,Pecatu,USD,118.0,['Pool view']
6,BukitVista,Private Pool Villa Minutes from Bingin Surf Haven by Bukit Vista,https://www.bukitvista.com/property/private-pool-villa-minutes-from-bingin-surf-haven-by-bukit-vista,Pecatu,USD,165.0,['Pool view']
7,BukitVista,Ungasan Exquisite Villa w/ Rooftop & Private Pool by Bukit Vista,https://www.bukitvista.com/property/ungasan-exquisite-villa-w-rooftop-amp-private-pool-by-bukit-vista,Ungasan,USD,167.0,"['Amazing pool', 'Golfing', 'Surfing', 'Tropical']"
8,BukitVista,Sun-Soaked Canggu Villa Perfect for Families,https://www.bukitvista.com/property/sun-soaked-canggu-villa-perfect-for-families,Canggu,USD,100.0,[]
9,BukitVista,Sunny Exquisite Umalas Villa: 20 Minutes to Canggu,https://www.bukitvista.com/property/sunny-exquisite-umalas-villa-20-minutes-to-canggu,Canggu,USD,108.0,[]
10,BukitVista,Ubud’s Verdant Hideaway w/ Pool & Garden Views,https://www.bukitvista.com/property/ubuds-verdant-hideaway-w-pool-garden-views,Ubud,USD,34.0,[]
11,BukitVista,Dazzling Villa with Pool and Rooftop in Bingin,https://www.bukitvista.com/property/dazzling-villa-with-pool-and-rooftop-in-bingin,Others,USD,202.0,[]
12,BukitVista,Sun-Soaked 2BR Villa w/ Pool 15-Min Ride to Beach,https://www.bukitvista.com/property/sun-soaked-2br-villa-w-pool-15-min-ride-to-beach,Denpasar,USD,91.0,[]
13,BukitVista,Voguish Penthouse with Rooftop Pool Near Canggu,https://www.bukitvista.com/property/voguish-penthouse-with-rooftop-pool-near-canggu,Canggu,USD,89.0,[]
14,BukitVista,Artisanal Berawa Villa: 11 mins Ride to Beach,https://www.bukitvista.com/property/artisanal-berawa-villa-11-mins-ride-to-beach,Denpasar,USD,73.0,[]
15,BukitVista,Ocean-View Eco Dorms at Nusa Lembongan Hilltop,https://www.bukitvista.com/property/ocean-view-eco-dorms-at-nusa-lembongan-hilltop,Lembongan,USD,28.0,['Ocean view']
16,BukitVista,Eco Treehouse Stay with Lembongan Sea Views,https://www.bukitvista.com/property/eco-treehouse-stay-with-lembongan-sea-views,Lembongan,USD,18.0,['Ocean view']
17,BukitVista,Eco-Friendly Lodge w/ Ocean View in Nusa Lembongan,https://www.bukitvista.com/property/eco-friendly-lodge-w-ocean-view-in-nusa-lembongan,Lembongan,USD,18.0,['Ocean view']
18,BukitVista,Breathtaking Hillside Private Cabin in Lembongan,https://www.bukitvista.com/property/breathtaking-hillside-private-cabin-in-lembongan,Lembongan,USD,30.0,['Ocean view']
19,BukitVista,Private Ungasan Hideaway Villa with Pool Oasis,https://www.bukitvista.com/property/private-ungasan-hideaway-villa-with-pool-oasis,Ungasan,USD,165.0,[]
20,BukitVista,Sunny Tropical Luxe Villa in Ungasan with Pool,https://www.bukitvista.com/property/sunny-tropical-luxe-villa-in-ungasan-with-pool,Ungasan,USD,172.0,[]
21,BukitVista,Dreamy Haven w/ Pool | 300m from Bingin Beach,https://www.bukitvista.com/property/dreamy-haven-w-pool-300m-from-bingin-beach,Others,USD,215.0,[]
22,BukitVista,Ungasan Haven: 3BR Villa w/ Private Pool Retreat,https://www.bukitvista.com/property/ungasan-haven-3br-villa-w-private-pool-retreat,Ungasan,USD,80.0,[]
23,BukitVista,Unwind in Tabanan Remote Jungle with Infinity Pool,https://www.bukitvista.com/property/unwind-in-tabanan-remote-jungle-with-infinity-pool,Others,USD,72.0,"['Amazing View', 'Jungle View', 'Tropical', 'View']"
