,VillaName,Features,Rating,Total_Review,Rating_Info,Location,URL,Currency,PriceValue,Area
0,Hanging Gardens Of Bali,"['Cycling', 'Outdoor facilities', 'Massage', 'Library', 'Express check-out', 'Bar']",8.5,30.0,Impressive,"Payangan, Ubud",www.traveloka.com/en-en/hotel/indonesia/hanging-gardens-of-bali-48720,USD,722.65,Ubud
1,The Bali Dream Villa Resort Echo Beach Canggu,"['Sun loungers', 'Massage', 'Kitchenette', 'Pool sun loungers', 'Spa', 'Bar']",8.3,26.0,Impressive,"Canggu, Kuta Utara",www.traveloka.com/en-en/hotel/indonesia/the-bali-dream-villa-resort-echo-beach-canggu-409124,USD,50.13,Canggu
2,Menjangan Dynasty Resort,"['Snorkeling', 'Canoeing', 'Horse riding', 'Diving', 'Beach sun loungers', 'Bar']",9.1,135.0,Superb,"Menjangan, Buleleng",www.traveloka.com/en-en/hotel/indonesia/menjangan-dynasty-resort-1000000608243,USD,156.45,Others
3,AYANA Villas Bali,"['Show cooking restaurant', 'Beach Bar', 'Business facilities', 'Poolside bar', 'Wheelchair accessible', 'Bar']",8.7,23.0,Impressive,"Jimbaran, Kuta Selatan",www.traveloka.com/en-en/hotel/indonesia/ayana-villas-bali-3000010000531,USD,1156.73,Jimbaran
4,Elevate Bali,"['Canoeing', 'Diving', 'Massage', 'Airport transfer', 'Express check-out', 'Bar']",9.8,6.0,Superb,"Munduk, Buleleng",www.traveloka.com/en-en/hotel/indonesia/elevate-bali-9000000987459,USD,313.7,Others
5,Munduk Moding Plantation Nature Resort & Spa,"['Badminton', 'Cycling', 'Clothes dryer', 'Billiard', 'Rooftop terrace', 'Bar']",9.3,23.0,Superb,"Munduk, Buleleng",www.traveloka.com/en-en/hotel/indonesia/munduk-moding-plantation-nature-resort--spa-3000020010987,USD,170.64,Others
6,The Samaya Seminyak,"['Horse riding', 'Beach sun loungers', 'Beach towel', 'Fitness center', 'Beach umbrella', 'Bar']",8.7,8.0,Impressive,"Seminyak, Kuta",www.traveloka.com/en-en/hotel/indonesia/the-samaya-seminyak-71877,USD,428.24,Seminyak
7,Karana Villa Bali,"['Babysitting', 'Car rental', 'Massage', 'Kitchenette', 'Airport transfer', 'Express check-out']",7.9,429.0,Convenient,"West Denpasar, Denpasar",www.traveloka.com/en-en/hotel/indonesia/karana-villa-bali-487204,USD,38.94,Denpasar
8,Destiny Villas and Residence,"['Babysitting', 'Bicycle rental', 'Car rental', 'Massage']",8.7,49.0,Impressive,"Seminyak, Kuta",www.traveloka.com/en-en/hotel/indonesia/destiny-villas-and-residence-443744,USD,50.42,Seminyak
9,"FuramaXclusive Resort & Villas, Ubud","['Show cooking restaurant', 'Cycling', 'Outdoor facilities', 'Massage', 'Poolside bar', 'Bar']",8.7,78.0,Impressive,"Abiansemal, Badung",www.traveloka.com/en-en/hotel/indonesia/furamaxclusive-resort--villas-ubud-69693,USD,75.13,Others
